time,latitude,longitude,speed,accuracy,bearing
1551712912334,30.006169,120.867261,13,1,349
1551712913298,30.006199,120.867263,11,1,356
1551712914325,30.006227,120.867259,11,1,353
1551712915296,30.006254,120.867253,11,1,350
1551712916340,30.006282,120.867246,12,1,344
1551712917328,30.006315,120.867233,14,1,338
1551712918361,30.006353,120.86722,16,1,342
1551712919295,30.006397,120.867215,18,1,351
1551712920292,30.006447,120.867216,20,1,356
1551712921260,30.006504,120.867215,22,1,354
1551712922292,30.006569,120.867215,25,1,353
1551712923259,30.006635,120.867211,25,1,354
1551712924339,30.0067,120.867202,26,1,352
1551712925322,30.006769,120.86719,28,1,350
1551712926277,30.006841,120.867177,29,1,349
1551712927259,30.006915,120.867162,30,1,349
1551712928328,30.006987,120.867144,30,1,347
1551712929286,30.007061,120.867122,31,1,345
1551712930369,30.007138,120.867098,32,1,345
1551712931286,30.00722,120.867079,33,1,348
1551712932306,30.0073,120.867063,32,1,350
1551712933258,30.007381,120.867046,33,1,348
1551712934300,30.007466,120.867029,34,1,348
1551712935287,30.00755,120.867014,34,1,351
1551712936313,30.007635,120.867004,33,1,353
1551712937285,30.007719,120.866996,32,1,353
1551712938394,30.007798,120.866982,31,1,350
1551712939297,30.007875,120.866971,31,1,353
1551712940349,30.007951,120.866954,32,1,347
1551712941376,30.008029,120.866935,32,1,349
1551712942380,30.008104,120.866921,30,1,351
1551712943367,30.00818,120.866911,30,1,353
1551712944350,30.008254,120.866901,29,1,351
1551712945346,30.008325,120.866891,28,1,352
1551712946327,30.008396,120.866877,29,1,349
1551712947299,30.008469,120.866864,30,1,350
1551712948365,30.008545,120.86685,31,1,350
1551712949278,30.008619,120.866834,31,1,348
1551712950311,30.008697,120.866817,31,1,349
1551712951273,30.008773,120.8668,31,1,349
1551712952320,30.008854,120.866789,32,1,353
1551712953215,30.008935,120.866774,33,1,350
1551712954285,30.009015,120.866754,32,1,347
1551712955249,30.009091,120.866738,30,2,349
1551712956244,30.009161,120.866719,28,1,347
1551712957207,30.009228,120.866706,26,2,350
1551712958260,30.009295,120.866694,26,1,349
1551712959210,30.00936,120.866677,27,1,348
1551712960267,30.009428,120.866664,28,1,351
1551712961167,30.0095,120.86665,29,1,350
1551712962261,30.009576,120.866633,31,1,348
1551712963208,30.009656,120.866618,33,1,351
